api_id,api_name,api_category,endpoint,version,owner_team,status,service_name
43,Google Maps Geocode Service,Maps,https://maps.googleapis.com/maps/api/geocode/json/239,v3,Unknown,Active,maps
44,auth engine #59,Auth,https://internal.api/v1/auth/action,v1.0.0,SecOps-Compliance,Active,internal
45,MAPS ENGINE #54,Maps,https://internal.api/v1/maps/action,v1.4,Core-Platform,Active,internal
46,Compliance Engine #75,Compliance,https://internal.api/v1/compliance/action,v1.4,Data-Eng,Active,internal
47,datadog telemetry service,Analytics,https://api.datadoghq.com/api/v2/logs,v2.1.0,Logistics,Active,api
48,Compliance Engine #82,Compliance,https://internal.api/v1/compliance/action,2024-01-01,Comms-Team,Deprecated,internal
49,Auth Engine #34,Security,https://internal.api/v1/auth/action,v2.1.0,FinTech-Core,Deprecated,internal
50,Auth0 Login API,Unknown,https://identity.auth0.com/oauth/token/288,v2.1.0,Core-Platform,Active,identity
51,Snowflake Ingestion API,Analytics,https://snowflake.internal/api/v1/ingest,v1.0.0,Logistics,Active,snowflake
52,SendGrid Mailer API,Notifications,https://api.sendgrid.com/v3/mail/send,v2-beta,Core-Platform,Inactive,api
53,Snowflake Ingestion Service,Analytics,https://snowflake.internal/api/v1/ingest,v2-beta,Data-Eng,Active,snowflake
54,User Profile Core Service,User,https://internal.platform/services/user-profile/532,v1-alpha,Core-Platform,Active,internal
55,GDPR Purge Utility Service,Compliance,https://compliance.internal/v1/purge/356,v2.1.0,SecOps-Compliance,Inactive,compliance
56,PayPal Checkout API,Payment,https://api-m.paypal.com/v2/checkout/orders/921,v1.4,Unknown,Active,api-m
57,Compliance Engine #86,Compliance,https://internal.api/v1/compliance/action,v2-beta,Data-Eng,Active,internal
58,MARKETING ENGINE #20,Marketing,https://internal.api/v1/marketing/action,v2-beta,Core-Platform,Active,internal
59,Payment Engine #32,Payment,https://internal.api/v1/payment/action,v1.0.0,Data-Eng,Active,internal
60,Snowflake Ingestion Service,Analytics,https://snowflake.internal/api/v1/ingest/813,2024-01-01,SecOps-Compliance,Active,snowflake
61,User Engine #11,User,https://internal.api/v1/user/action,v1.4,SecOps-Compliance,Active,internal
62,Shipping Engine #18,Shipping,https://internal.api/v1/shipping/action,v1.4,SecOps-Compliance,Active,internal
63,Shipping Engine #72,Shipping,https://internal.api/v1/shipping/action/{env}/debug_mode,v1.0.0,Identity-IAM,Active,internal
64,PayPal Checkout API,Payment,https://api-m.paypal.com/v2/checkout/orders/579,v1.4,Logistics,Active,api-m
65,user engine #78,User,https://internal.api/v1/user/action,v2.1.0,Core-Platform,Deprecated,internal
66,Marketing Engine #23,Marketing,https://internal.api/v1/marketing/action,v2-beta,Core-Platform,Active,internal
67,User Engine #88,User,https://internal.api/v1/user/action,v1.4,Growth-Marketing,Deprecated,internal
68,SendGrid Mailer Service,Notifications,https://api.sendgrid.com/v3/mail/send,2024-01-01,Comms-Team,Active,api
69,GDPR Purge Utility API,Compliance,https://compliance.internal/v1/purge/900,Unknown,Identity-IAM,Active,compliance
70,user profile core api,User,https://internal.platform/services/user-profile,v2.1.0,Comms-Team,Active,internal
71,CRM Engine #20,CRM,https://internal.api/v1/crm/action,test-version,Growth-Marketing,Active,internal
72,sendgrid mailer service,Notifications,https://api.sendgrid.com/v3/mail/send,v1.0.0,Logistics,Active,api
73,CRM Engine #35,Unknown,https://internal.api/v1/crm/action,v2.1.0,FinTech-Core,Active,internal
74,PayPal Checkout Service,Payment,https://api-m.paypal.com/v2/checkout/orders,2024-01-01,Logistics,Active,api-m
75,AdRoll Tracking Pixels Service,Marketing,https://api.adroll.com/v2/pixels,v2.1.0,Logistics,Active,api
76,User Engine #21,User,https://internal.api/v1/user/action,v2.1.0,Logistics,Active,internal
77,Shipping Engine #87,Shipping,https://internal.api/v1/shipping/action,v2-beta,FinTech-Core,Active,internal
78,FedEx Ship Rates Service,Unknown,https://apis.fedex.com/rate/v1/rates/659,v2.1.0,Core-Platform,Active,apis
79,Twilio SMS Gateway API,Notifications,https://api.twilio.com/2010-04-01/accounts,Unknown,Growth-Marketing,Deprecated,api
80,Compliance Engine #13,Compliance,https://internal.api/v1/compliance/action,v1.4,Core-Platform,Deprecated,internal
81,Salesforce Leads Service,CRM,https://test.salesforce.com/services/data/v55.0/sobjects,v2-beta,Logistics,Deprecated,test
82,Datadog Telemetry API,Analytics,https://api.datadoghq.com/api/v2/logs,v1.4,Core-Platform,Active,api
83,FedEx Ship Rates Service,Shipping,https://apis.fedex.com/rate/v1/rates/718,v2-beta,FinTech-Core,Active,apis
84,Okta Verify API,Auth,https://okta.internal/api/v1/authn,v2-beta,Comms-Team,Deprecated,okta
85,GDPR Purge Utility Service,Compliance,https://compliance.internal/v1/purge,v2-beta,Growth-Marketing,Active,compliance
86,Auth0 Login API,Auth,https://identity.auth0.com/oauth/token/980,Unknown,Logistics,Deprecated,identity
87,Payment Engine #25,Payment,https://internal.api/v1/payment/action,v2-beta,Unknown,Active,internal
88,Marketing Engine #60,Marketing,https://internal.api/v1/marketing/action,v3,FinTech-Core,Active,internal
89,FedEx Ship Rates API,Shipping,https://apis.fedex.com/rate/v1/rates/{env}/debug_mode,v3,Identity-IAM,Inactive,apis
90,Shipping Engine #66,Shipping,https://internal.api/v1/shipping/action,2024-01-01,Comms-Team,Active,internal
91,Salesforce Leads API,CRM,https://test.salesforce.com/services/data/v55.0/sobjects/357,v2-beta,FinTech-Core,Deprecated,test
92,Notifications Engine #14,Notifications,https://internal.api/v1/notifications/action/{env}/debug_mode,v2.1.0,SecOps-Compliance,Inactive,internal
93,FedEx Ship Rates API,Shipping,https://apis.fedex.com/rate/v1/rates/387,0.0.1-SNAPSHOT,Logistics,Active,apis
94,Okta Verify Service,Auth,https://okta.internal/api/v1/authn,v1.0.0,Core-Platform,Active,okta
95,HubSpot Contacts Service,CRM,https://api.hubapi.com/crm/v3/objects/contacts/613,v1.4,Core-Platform,Active,api
96,FEDEX SHIP RATES API,Shipping,https://apis.fedex.com/rate/v1/rates/818,v3,Comms-Team,Inactive,apis
97,AdRoll Tracking Pixels Service,Marketing,https://api.adroll.com/v2/pixels,v2-beta,Logistics,Active,api
98,CRM Engine #82,CRM,https://internal.api/v1/crm/action,Unknown,Logistics,Deprecated,internal
99,Snowflake Ingestion API,Unknown,https://snowflake.internal/api/v1/ingest,2024-01-01,FinTech-Core,Active,snowflake
100,Stripe Payments API,FinTech,https://api.stripe.com/v3/charges/905,v2-beta,SecOps-Compliance,Active,api
101,CRM Engine #29,CRM,https://internal.api/v1/crm/action,v2.1.0,Logistics,Deprecated,internal
102,Compliance Engine #91,Compliance,https://internal.api/v1/compliance/action,test-version,Growth-Marketing,Active,internal
103,Notifications Engine #56,Notifications,https://internal.api/v1/notifications/action,v1.4,SecOps-Compliance,Inactive,internal
104,SendGrid Mailer Service,Notifications,https://api.sendgrid.com/v3/mail/send/{env}/debug_mode,2024-01-01,SecOps-Compliance,Active,api
105,AdRoll Tracking Pixels Service,Marketing,https://api.adroll.com/v2/pixels/414,v2.1.0,Data-Eng,Inactive,api
106,FedEx Ship Rates Service,Shipping,https://apis.fedex.com/rate/v1/rates/585/{env}/debug_mode,v1.0.0,Comms-Team,Active,apis
107,Notifications Engine #68,Unknown,https://internal.api/v1/notifications/action,v3,Logistics,Active,internal
108,FedEx Ship Rates Service,Shipping,https://apis.fedex.com/rate/v1/rates/942,v1.0.0,Growth-Marketing,Deprecated,apis
109,Auth0 Login API,Auth,https://identity.auth0.com/oauth/token/{env}/debug_mode,2024-01-01,Data-Eng,Inactive,identity
110,Snowflake Ingestion Service,Analytics,https://snowflake.internal/api/v1/ingest/643,v1.4,Identity-IAM,Active,snowflake
111,Notifications Engine #71,Notifications,https://internal.api/v1/notifications/action,v2.1.0,Growth-Marketing,Active,internal
112,Notifications Engine #17,Notifications,https://internal.api/v1/notifications/action,v2.1.0,Logistics,Inactive,internal
113,Maps Engine #66,Maps,https://internal.api/v1/maps/action,v1.0.0,Unknown,Active,internal
114,Snowflake Ingestion API,Unknown,https://snowflake.internal/api/v1/ingest,v2-beta,Identity-IAM,Inactive,snowflake
115,Snowflake Ingestion Service,Analytics,https://snowflake.internal/api/v1/ingest/147,v2-beta,Unknown,Deprecated,snowflake
116,Auth0 Login Service,Auth,https://identity.auth0.com/oauth/token,0.0.1-SNAPSHOT,Comms-Team,Active,identity
117,Twilio SMS Gateway API,Unknown,https://api.twilio.com/2010-04-01/accounts,2024-01-01,Core-Platform,Inactive,api
118,Shipping Engine #48,Shipping,https://internal.api/v1/shipping/action/{env}/debug_mode,2024-01-01,Core-Platform,Active,internal
119,Google Maps Geocode Service,Maps,https://maps.googleapis.com/maps/api/geocode/json/302,v1-alpha,SecOps-Compliance,Active,maps
120,PayPal Checkout API,Payment,https://api-m.paypal.com/v2/checkout/orders,0.0.1-SNAPSHOT,SecOps-Compliance,Active,api-m
121,Payment Engine #46,Payment,https://internal.api/v1/payment/action/{env}/debug_mode,v2.1.0,FinTech-Core,Deprecated,internal
122,Snowflake Ingestion Service,Analytics,https://snowflake.internal/api/v1/ingest/709,v2-beta,Comms-Team,Deprecated,snowflake
123,Maps Engine #74,Maps,https://internal.api/v1/maps/action,v3,SecOps-Compliance,Active,internal
124,user engine #26,User,https://internal.api/v1/user/action,v1.0.0,Growth-Marketing,Active,internal
125,PAYPAL CHECKOUT API,Payment,https://api-m.paypal.com/v2/checkout/orders,2024-01-01,Core-Platform,Active,api-m
126,Stripe Payments Service,Payment,https://api.stripe.com/v3/charges/592,v1.0.0,Logistics,Active,api
127,FedEx Ship Rates Service,Shipping,https://apis.fedex.com/rate/v1/rates/535,v1.4,Comms-Team,Inactive,apis
128,Auth Engine #22,Auth,https://internal.api/v1/auth/action,2024-01-01,Core-Platform,Inactive,internal
129,Shipping Engine #15,Unknown,https://internal.api/v1/shipping/action,v2.1.0,Growth-Marketing,Active,internal
130,Snowflake Ingestion Service,Analytics,https://snowflake.internal/api/v1/ingest/707,v1.0.0,FinTech-Core,Active,snowflake
131,User Engine #62,User,https://internal.api/v1/user/action,v2-beta,Data-Eng,Active,internal
132,Auth Engine #54,Auth,https://internal.api/v1/auth/action,Unknown,Data-Eng,Deprecated,internal
133,FedEx Ship Rates Service,Shipping,https://apis.fedex.com/rate/v1/rates,v1.4,Core-Platform,Active,apis
134,Payment Engine #75,Payment,https://internal.api/v1/payment/action,v2-beta,FinTech-Core,Deprecated,internal
135,Twilio SMS Gateway Service,Notifications,https://api.twilio.com/2010-04-01/accounts/748,v2-beta,Comms-Team,Active,api
136,AdRoll Tracking Pixels Service,Marketing,https://api.adroll.com/v2/pixels,2024-01-01,Comms-Team,Active,api
137,Stripe Payments API,Payment,https://api.stripe.com/v3/charges/243,v2.1.0,Identity-IAM,Deprecated,api
138,FedEx Ship Rates API,Shipping,https://apis.fedex.com/rate/v1/rates/794,v2-beta,Logistics,Active,apis
139,GDPR Purge Utility API,Compliance,https://compliance.internal/v1/purge,v3,SecOps-Compliance,Active,compliance
140,Datadog Telemetry Service,Unknown,https://api.datadoghq.com/api/v2/logs,2024-01-01,SecOps-Compliance,Active,api
141,Auth Engine #65,Auth,https://internal.api/v1/auth/action/{env}/debug_mode,v2.1.0,Comms-Team,Active,internal
142,FedEx Ship Rates Service,Shipping,https://apis.fedex.com/rate/v1/rates,Unknown,Data-Eng,Deprecated,apis
143,FedEx Ship Rates Service,Shipping,https://apis.fedex.com/rate/v1/rates/{env}/debug_mode,v2-beta,Data-Eng,Active,apis
144,AdRoll Tracking Pixels API,Marketing,https://api.adroll.com/v2/pixels/{env}/debug_mode,v2-beta,Core-Platform,Active,api
145,Twilio SMS Gateway API,Notifications,https://api.twilio.com/2010-04-01/accounts/252,Unknown,FinTech-Core,Inactive,api
146,Compliance Engine #19,Compliance,https://internal.api/v1/compliance/action/{env}/debug_mode,v1.0.0,FinTech-Core,Active,internal
147,Snowflake Ingestion API,Analytics,https://snowflake.internal/api/v1/ingest,v2-beta,Identity-IAM,Inactive,snowflake
148,Okta Verify Service,Auth,https://okta.internal/api/v1/authn/362,v3,Comms-Team,Active,okta
149,Maps Engine #89,Maps,https://internal.api/v1/maps/action,v2-beta,Logistics,Inactive,internal
150,Auth Engine #16,Auth,https://internal.api/v1/auth/action/{env}/debug_mode,v2.1.0,Logistics,Deprecated,internal
151,gdpr purge utility api,Compliance,https://compliance.internal/v1/purge,v1.4,Growth-Marketing,Deprecated,compliance
152,Datadog Telemetry Service,Analytics,https://api.datadoghq.com/api/v2/logs/221,v2-beta,Growth-Marketing,Active,api
153,Snowflake Ingestion Service,Analytics,https://snowflake.internal/api/v1/ingest/{env}/debug_mode,2024-01-01,Data-Eng,Deprecated,snowflake
154,Shipping Engine #44,Shipping,https://internal.api/v1/shipping/action/{env}/debug_mode,v1.4,Comms-Team,Deprecated,internal
155,CRM Engine #71,CRM,https://internal.api/v1/crm/action,v1.0.0,Unknown,Active,internal
156,Twilio SMS Gateway Service,Notifications,https://api.twilio.com/2010-04-01/accounts,v1.0.0,Unknown,Inactive,api
157,GDPR Purge Utility API,Compliance,https://compliance.internal/v1/purge/802,Unknown,Data-Eng,Active,compliance
158,User Engine #24,User,https://internal.api/v1/user/action,Unknown,SecOps-Compliance,Active,internal
159,Datadog Telemetry Service,Analytics,https://api.datadoghq.com/api/v2/logs/947,2024-01-01,Identity-IAM,Inactive,api
160,FedEx Ship Rates API,Shipping,https://apis.fedex.com/rate/v1/rates/186,v1.4,Identity-IAM,Inactive,apis
161,Shipping Engine #31,Shipping,https://internal.api/v1/shipping/action,v2.1.0,Identity-IAM,Active,internal
162,User Engine #34,Unknown,https://internal.api/v1/user/action,2024-01-01,FinTech-Core,Active,internal
163,GDPR Purge Utility Service,Compliance,https://compliance.internal/v1/purge/950,v2.1.0,Data-Eng,Deprecated,compliance
164,Auth Engine #55,Auth,https://internal.api/v1/auth/action/{env}/debug_mode,v1.0.0,Data-Eng,Active,internal
165,User Engine #30,User,https://internal.api/v1/user/action,2024-01-01,Data-Eng,Deprecated,internal
166,Shipping Engine #70,Shipping,https://internal.api/v1/shipping/action,v2-beta,Growth-Marketing,Active,internal
167,Payment Engine #65,Payment,https://internal.api/v1/payment/action,2024-01-01,Logistics,Active,internal
168,GDPR Purge Utility Service,Compliance,https://compliance.internal/v1/purge,v1.0.0,SecOps-Compliance,Inactive,compliance
169,Auth0 Login Service,Auth,https://identity.auth0.com/oauth/token/217/{env}/debug_mode,v1.0.0,Data-Eng,Active,identity
170,Stripe Payments Service,Payment,https://api.stripe.com/v3/charges/685,v1-alpha,Data-Eng,Active,api
171,User Profile Core API,User,https://internal.platform/services/user-profile,v1.4,Comms-Team,Inactive,internal
172,HUBSPOT CONTACTS API,CRM,https://api.hubapi.com/crm/v3/objects/contacts,v2-beta,Data-Eng,Active,api
173,Payment Engine #76,Payment,https://internal.api/v1/payment/action,Unknown,Comms-Team,Active,internal
174,Okta Verify Service,Auth,https://okta.internal/api/v1/authn,v3,FinTech-Core,Active,okta
175,HubSpot Contacts API,CRM,https://api.hubapi.com/crm/v3/objects/contacts/375,v1.0.0,Data-Eng,Active,api
176,Datadog Telemetry Service,Analytics,https://api.datadoghq.com/api/v2/logs,v3,Comms-Team,Active,api
177,Analytics Engine #65,Analytics,https://internal.api/v1/analytics/action,v1.4,Data-Eng,Deprecated,internal
178,GDPR Purge Utility Service,Compliance,https://compliance.internal/v1/purge/515,Unknown,SecOps-Compliance,Active,compliance
179,SendGrid Mailer Service,Notifications,https://api.sendgrid.com/v3/mail/send/517,Unknown,Comms-Team,Active,api
180,SendGrid Mailer API,Notifications,https://api.sendgrid.com/v3/mail/send,v3,Data-Eng,Active,api
181,SendGrid Mailer Service,Notifications,https://api.sendgrid.com/v3/mail/send/811/{env}/debug_mode,v2-beta,SecOps-Compliance,Active,api
182,Twilio SMS Gateway Service,Comms,https://api.twilio.com/2010-04-01/accounts,v3,FinTech-Core,Active,api
183,FedEx Ship Rates API,Shipping,https://apis.fedex.com/rate/v1/rates,v3,Logistics,Deprecated,apis
184,GDPR Purge Utility Service,Compliance,https://compliance.internal/v1/purge/514,v1.0.0,Identity-IAM,Active,compliance
185,Auth0 Login Service,Auth,https://identity.auth0.com/oauth/token/136,Unknown,Logistics,Active,identity
186,GDPR Purge Utility API,Compliance,https://compliance.internal/v1/purge/343,2024-01-01,Data-Eng,Inactive,compliance
187,Shipping Engine #24,Shipping,https://internal.api/v1/shipping/action/{env}/debug_mode,2024-01-01,SecOps-Compliance,Active,internal
188,Compliance Engine #89,Compliance,https://internal.api/v1/compliance/action,v1.4,FinTech-Core,Inactive,internal
189,Okta Verify Service,Auth,https://okta.internal/api/v1/authn/474,Unknown,Growth-Marketing,Active,okta
190,Auth0 Login API,Auth,https://identity.auth0.com/oauth/token/677,2024-01-01,Identity-IAM,Inactive,identity
191,PayPal Checkout API,Payment,https://api-m.paypal.com/v2/checkout/orders/146,v1.4,Unknown,Active,api-m
192,Marketing Engine #41,Marketing,https://internal.api/v1/marketing/action,v3,Unknown,Active,internal
193,Twilio SMS Gateway API,Notifications,https://api.twilio.com/2010-04-01/accounts,v3,SecOps-Compliance,Inactive,api
194,Datadog Telemetry Service,Analytics,https://api.datadoghq.com/api/v2/logs/549,v1.4,FinTech-Core,Active,api
195,FedEx Ship Rates API,Shipping,https://apis.fedex.com/rate/v1/rates,Unknown,Core-Platform,Active,apis
196,Auth Engine #24,Auth,https://internal.api/v1/auth/action,v2-beta,Logistics,Inactive,internal
197,CRM Engine #27,CRM,https://internal.api/v1/crm/action,v2-beta,Unknown,Active,internal
198,Datadog Telemetry Service,Analytics,https://api.datadoghq.com/api/v2/logs,2026_RC4,Growth-Marketing,Active,api
199,AUTH0 LOGIN SERVICE,Auth,https://identity.auth0.com/oauth/token,v1.0.0,FinTech-Core,Active,identity
200,AdRoll Tracking Pixels Service,Marketing,https://api.adroll.com/v2/pixels/{env}/debug_mode,v3,FinTech-Core,Deprecated,api
201,user engine #54,User,https://internal.api/v1/user/action,v3,Identity-IAM,Active,internal
202,Okta Verify Service,Auth,https://okta.internal/api/v1/authn/483,v3,SecOps-Compliance,Active,okta
203,SendGrid Mailer Service,Notifications,https://api.sendgrid.com/v3/mail/send/336,v1.4,Comms-Team,Active,api
204,Maps Engine #23,Maps,https://internal.api/v1/maps/action,test-version,Data-Eng,Active,internal
205,AdRoll Tracking Pixels Service,Marketing,https://api.adroll.com/v2/pixels,v3,Comms-Team,Active,api
206,Auth0 Login API,Unknown,https://identity.auth0.com/oauth/token/913,v2.1.0,SecOps-Compliance,Deprecated,identity
207,Twilio SMS Gateway API,Notifications,https://api.twilio.com/2010-04-01/accounts/121,2024-01-01,SecOps-Compliance,Inactive,api
208,Maps Engine #58,Maps,https://internal.api/v1/maps/action,v2.1.0,Data-Eng,Deprecated,internal
209,PayPal Checkout API,Unknown,https://api-m.paypal.com/v2/checkout/orders,v2.1.0,Identity-IAM,Inactive,api-m
210,User Profile Core Service,User,https://internal.platform/services/user-profile,test-version,Comms-Team,Inactive,internal
211,AdRoll Tracking Pixels API,Marketing,https://api.adroll.com/v2/pixels/431,2024-01-01,Comms-Team,Deprecated,api
212,CRM Engine #79,CRM,https://internal.api/v1/crm/action,v1.4,Data-Eng,Active,internal
213,PayPal Checkout API,Unknown,https://api-m.paypal.com/v2/checkout/orders,v2-beta,Comms-Team,Deprecated,api-m
214,SendGrid Mailer API,Unknown,https://api.sendgrid.com/v3/mail/send/103,v1.0.0,SecOps-Compliance,Deprecated,api
215,Marketing Engine #29,Marketing,https://internal.api/v1/marketing/action,test-version,Core-Platform,Active,internal
216,CRM Engine #98,CRM,https://internal.api/v1/crm/action,v1.0.0,SecOps-Compliance,Active,internal
217,User Engine #63,User,https://internal.api/v1/user/action,v3,Data-Eng,Active,internal
218,Auth0 Login API,Auth,https://identity.auth0.com/oauth/token,v1.4,Growth-Marketing,Deprecated,identity
219,crm engine #96,CRM,https://internal.api/v1/crm/action,v1.4,Comms-Team,Active,internal
220,HubSpot Contacts API,CRM,https://api.hubapi.com/crm/v3/objects/contacts/274,v1.0.0,Comms-Team,Active,api
221,Shipping Engine #80,Shipping,https://internal.api/v1/shipping/action,v2.1.0,Logistics,Active,internal
222,Salesforce Leads Service,CRM,https://test.salesforce.com/services/data/v55.0/sobjects,0.0.1-SNAPSHOT,Data-Eng,Deprecated,test
223,Auth Engine #53,Auth,https://internal.api/v1/auth/action,v1.0.0,Unknown,Active,internal
224,Auth Engine #79,Auth,https://internal.api/v1/auth/action,2024-01-01,Comms-Team,Active,internal
225,Auth Engine #13,Auth,https://internal.api/v1/auth/action,v2-beta,Comms-Team,Active,internal
226,PayPal Checkout API,Payment,https://api-m.paypal.com/v2/checkout/orders/538,2024-01-01,Core-Platform,Inactive,api-m
227,Auth0 Login API,Auth,https://identity.auth0.com/oauth/token/{env}/debug_mode,v1.4,Comms-Team,Active,identity
228,User Engine #25,User,https://internal.api/v1/user/action,v1.0.0,Unknown,Active,internal
229,Notifications Engine #42,Notifications,https://internal.api/v1/notifications/action,v3,FinTech-Core,Active,internal
230,Auth Engine #82,Auth,https://internal.api/v1/auth/action,v2-beta,Comms-Team,Inactive,internal
231,Datadog Telemetry API,Analytics,https://api.datadoghq.com/api/v2/logs/154,v3,Identity-IAM,Active,api
232,Shipping Engine #94,Shipping,https://internal.api/v1/shipping/action/{env}/debug_mode,v2-beta,SecOps-Compliance,Deprecated,internal
233,Stripe Payments Service,Payment,https://api.stripe.com/v3/charges/932,0.0.1-SNAPSHOT,Data-Eng,Inactive,api
234,Stripe Payments Service,Payment,https://api.stripe.com/v3/charges/514,v2-beta,Data-Eng,Active,api
235,SendGrid Mailer Service,Notifications,https://api.sendgrid.com/v3/mail/send/119,v1.4,Growth-Marketing,Active,api
236,Okta Verify API,Auth,https://okta.internal/api/v1/authn/484,v2.1.0,Growth-Marketing,Active,okta
237,Shipping Engine #72,Unknown,https://internal.api/v1/shipping/action,v2.1.0,Comms-Team,Active,internal
238,Snowflake Ingestion API,Analytics,https://snowflake.internal/api/v1/ingest,v2.1.0,Identity-IAM,Active,snowflake
239,Snowflake Ingestion Service,Analytics,https://snowflake.internal/api/v1/ingest/378,2024-01-01,FinTech-Core,Active,snowflake
240,GDPR Purge Utility API,Compliance,https://compliance.internal/v1/purge/627,v2.1.0,Unknown,Deprecated,compliance
241,SendGrid Mailer Service,Notifications,https://api.sendgrid.com/v3/mail/send,v2-beta,Growth-Marketing,Deprecated,api
242,GDPR Purge Utility API,Compliance,https://compliance.internal/v1/purge,v2-beta,Logistics,Inactive,compliance
243,CRM Engine #52,CRM,https://internal.api/v1/crm/action,v2.1.0,SecOps-Compliance,Inactive,internal
244,Payment Engine #72,Payment,https://internal.api/v1/payment/action,v1.4,FinTech-Core,Active,internal
245,Okta Verify API,Auth,https://okta.internal/api/v1/authn,v2.1.0,Unknown,Active,okta
246,CRM Engine #61,CRM,https://internal.api/v1/crm/action,v3,Data-Eng,Deprecated,internal
247,Marketing Engine #59,Marketing,https://internal.api/v1/marketing/action,v1.0.0,Data-Eng,Active,internal
